taxon	Phylum	Genus
Collinsella	Actinobacteria	Collinsella
Coprobacillus catenaformis et rel.	Clostridium cluster XVIII	Coprobacillus catenaformis et rel.
Coprococcus eutactus et rel.	Clostridium cluster XIVa	Coprococcus eutactus et rel.
Corynebacterium	Actinobacteria	Corynebacterium
Desulfovibrio et rel.	Proteobacteria	Desulfovibrio et rel.
Dialister	Clostridium cluster IX	Dialister
Dorea formicigenerans et rel.	Clostridium cluster XIVa	Dorea formicigenerans et rel.
Eggerthella lenta et rel.	Actinobacteria	Eggerthella lenta et rel.
Enterobacter aerogenes et rel.	Proteobacteria	Enterobacter aerogenes et rel.
Enterococcus	Bacilli	Enterococcus
Escherichia coli et rel.	Proteobacteria	Escherichia coli et rel.
Eubacterium biforme et rel.	Clostridium cluster XVI	Eubacterium biforme et rel.
Eubacterium cylindroides et rel.	Clostridium cluster XVI	Eubacterium cylindroides et rel.
Eubacterium hallii et rel.	Clostridium cluster XIVa	Eubacterium hallii et rel.
Eubacterium limosum et rel.	Clostridium cluster XV	Eubacterium limosum et rel.
Eubacterium rectale et rel.	Clostridium cluster XIVa	Eubacterium rectale et rel.
Eubacterium siraeum et rel.	Clostridium cluster IV	Eubacterium siraeum et rel.
Eubacterium ventriosum et rel.	Clostridium cluster XIVa	Eubacterium ventriosum et rel.
Faecalibacterium prausnitzii et rel.	Clostridium cluster IV	Faecalibacterium prausnitzii et rel.
Fusobacteria	Fusobacteria	Fusobacteria
Gemella	Bacilli	Gemella
Granulicatella	Bacilli	Granulicatella
Haemophilus	Proteobacteria	Haemophilus
Helicobacter	Proteobacteria	Helicobacter
Klebisiella pneumoniae et rel.	Proteobacteria	Klebisiella pneumoniae et rel.
Lachnobacillus bovis et rel.	Clostridium cluster XIVa	Lachnobacillus bovis et rel.
Lachnospira pectinoschiza et rel.	Clostridium cluster XIVa	Lachnospira pectinoschiza et rel.
Lactobacillus catenaformis et rel.	Clostridium cluster XVII	Lactobacillus catenaformis et rel.
Lactobacillus gasseri et rel.	Bacilli	Lactobacillus gasseri et rel.
Lactobacillus plantarum et rel.	Bacilli	Lactobacillus plantarum et rel.
Lactobacillus salivarius et rel.	Bacilli	Lactobacillus salivarius et rel.
Lactococcus	Bacilli	Lactococcus
Leminorella	Proteobacteria	Leminorella
Megamonas hypermegale et rel.	Clostridium cluster IX	Megamonas hypermegale et rel.
Megasphaera elsdenii et rel.	Clostridium cluster IX	Megasphaera elsdenii et rel.
Methylobacterium	Proteobacteria	Methylobacterium
Micrococcaceae	Actinobacteria	Micrococcaceae
Mitsuokella multiacida et rel.	Clostridium cluster IX	Mitsuokella multiacida et rel.
Moraxellaceae	Proteobacteria	Moraxellaceae
Novosphingobium	Proteobacteria	Novosphingobium
Oceanospirillum	Proteobacteria	Oceanospirillum
Oscillospira guillermondii et rel.	Clostridium cluster IV	Oscillospira guillermondii et rel.
Outgrouping clostridium cluster XIVa	Clostridium cluster XIVa	Outgrouping clostridium cluster XIVa
Oxalobacter formigenes et rel.	Proteobacteria	Oxalobacter formigenes et rel.
Papillibacter cinnamivorans et rel.	Clostridium cluster IV	Papillibacter cinnamivorans et rel.
Parabacteroides distasonis et rel.	Bacteroidetes	Parabacteroides distasonis et rel.
Peptococcus niger et rel.	Clostridium cluster IX	Peptococcus niger et rel.
Peptostreptococcus anaerobius et rel.	Clostridium cluster XI	Peptostreptococcus anaerobius et rel.
Peptostreptococcus micros et rel.	Clostridium cluster XIII	Peptostreptococcus micros et rel.
Phascolarctobacterium faecium et rel.	Clostridium cluster IX	Phascolarctobacterium faecium et rel.
Prevotella melaninogenica et rel.	Bacteroidetes	Prevotella melaninogenica et rel.
Prevotella oralis et rel.	Bacteroidetes	Prevotella oralis et rel.
Prevotella ruminicola et rel.	Bacteroidetes	Prevotella ruminicola et rel.
Prevotella tannerae et rel.	Bacteroidetes	Prevotella tannerae et rel.
Propionibacterium	Actinobacteria	Propionibacterium
Proteus et rel.	Proteobacteria	Proteus et rel.
Pseudomonas	Proteobacteria	Pseudomonas
Roseburia intestinalis et rel.	Clostridium cluster XIVa	Roseburia intestinalis et rel.
Ruminococcus bromii et rel.	Clostridium cluster IV	Ruminococcus bromii et rel.
Ruminococcus callidus et rel.	Clostridium cluster IV	Ruminococcus callidus et rel.
Ruminococcus gnavus et rel.	Clostridium cluster XIVa	Ruminococcus gnavus et rel.
Ruminococcus lactaris et rel.	Clostridium cluster XIVa	Ruminococcus lactaris et rel.
Ruminococcus obeum et rel.	Clostridium cluster XIVa	Ruminococcus obeum et rel.
Serratia	Proteobacteria	Serratia
Sporobacter termitidis et rel.	Clostridium cluster IV	Sporobacter termitidis et rel.
Staphylococcus	Bacilli	Staphylococcus
Streptococcus bovis et rel.	Bacilli	Streptococcus bovis et rel.
Streptococcus intermedius et rel.	Bacilli	Streptococcus intermedius et rel.
Streptococcus mitis et rel.	Bacilli	Streptococcus mitis et rel.
Subdoligranulum variable at rel.	Clostridium cluster IV	Subdoligranulum variable at rel.
Sutterella wadsworthia et rel.	Proteobacteria	Sutterella wadsworthia et rel.
Tannerella et rel.	Bacteroidetes	Tannerella et rel.
Uncultured Bacteroidetes	Bacteroidetes	Uncultured Bacteroidetes
Uncultured Chroococcales	Cyanobacteria	Uncultured Chroococcales
Uncultured Clostridiales I	Uncultured Clostridiales	Uncultured Clostridiales I
Uncultured Clostridiales II	Uncultured Clostridiales	Uncultured Clostridiales II
Uncultured Mollicutes	Uncultured Mollicutes	Uncultured Mollicutes
Uncultured Selenomonadaceae	Clostridium cluster IX	Uncultured Selenomonadaceae
Veillonella	Clostridium cluster IX	Veillonella
Vibrio	Proteobacteria	Vibrio
Weissella et rel.	Bacilli	Weissella et rel.
Wissella et rel.	Bacilli	Wissella et rel.
Xanthomonadaceae	Proteobacteria	Xanthomonadaceae
Yersinia et rel.	Proteobacteria	Yersinia et rel.
